# Automatically generated
# duptype id depth size device inode priority name
DUPTYPE_WITHIN_SAME_TREE -8043 2 592 66309 19140627 1 build/SBLive/0300/18.wav
DUPTYPE_WITHIN_SAME_TREE -8043 2 592 66309 20971902 1 build/SBLive/0840/21.wav
DUPTYPE_WITHIN_SAME_TREE -8043 2 592 66309 19009770 1 build/SBLive/0290/14.wav
DUPTYPE_FIRST_OCCURRENCE 9058 2 610 66309 18098473 1 build/SoundBlasterOld/0041/0.wav
DUPTYPE_WITHIN_SAME_TREE -9058 2 610 66309 20972613 1 build/SoundBlasterOld/0930/1.wav
DUPTYPE_WITHIN_SAME_TREE -9058 2 610 66309 20972532 1 build/SoundBlasterOld/0920/0.wav
DUPTYPE_FIRST_OCCURRENCE 8783 2 672 66309 20973588 1 build/SBLive/1050/7.wav
DUPTYPE_WITHIN_SAME_TREE -8783 2 672 66309 20973638 1 build/SBLive/1060/6.wav
DUPTYPE_FIRST_OCCURRENCE 8127 2 674 66309 19403724 1 build/SBLive/0380/8.wav
DUPTYPE_WITHIN_SAME_TREE -8127 2 674 66309 20847090 1 build/SBLive/0620/17.wav
DUPTYPE_WITHIN_SAME_TREE -8127 2 674 66309 20972124 1 build/SBLive/0870/6.wav
DUPTYPE_WITHIN_SAME_TREE -8127 2 674 66309 20971690 1 build/SBLive/0810/6.wav
DUPTYPE_FIRST_OCCURRENCE 8171 2 714 66309 19534535 1 build/SBLive/0420/5.wav
DUPTYPE_WITHIN_SAME_TREE -8171 2 714 66309 19534631 1 build/SBLive/0430/4.wav
DUPTYPE_FIRST_OCCURRENCE 8327 2 740 66309 20847076 1 build/SBLive/0620/3.wav
DUPTYPE_WITHIN_SAME_TREE -8327 2 740 66309 20971685 1 build/SBLive/0810/1.wav
DUPTYPE_FIRST_OCCURRENCE 8474 2 742 66309 20848270 1 build/SBLive/0780/2.wav
DUPTYPE_WITHIN_SAME_TREE -8474 2 742 66309 20971598 1 build/SBLive/0790/2.wav
DUPTYPE_FIRST_OCCURRENCE 8458 2 746 66309 20848151 1 build/SBLive/0750/7.wav
DUPTYPE_WITHIN_SAME_TREE -8458 2 746 66309 20974399 1 build/SBLive/1210/7.wav
DUPTYPE_WITHIN_SAME_TREE -8458 2 746 66309 20848194 1 build/SBLive/0760/6.wav
DUPTYPE_WITHIN_SAME_TREE -8458 2 746 66309 20848240 1 build/SBLive/0770/4.wav
DUPTYPE_WITHIN_SAME_TREE -8458 2 746 66309 20971746 1 build/SBLive/0820/14.wav
DUPTYPE_WITHIN_SAME_TREE -8458 2 746 66309 20971823 1 build/SBLive/0830/15.wav
DUPTYPE_WITHIN_SAME_TREE -8458 2 746 66309 20972006 1 build/SBLive/0850/12.wav
DUPTYPE_FIRST_OCCURRENCE 8266 2 784 66309 20070662 1 build/SBLive/0560/6.wav
DUPTYPE_WITHIN_SAME_TREE -8266 2 784 66309 20328947 1 build/SBLive/0600/16.wav
DUPTYPE_WITHIN_SAME_TREE -8266 2 784 66309 20185153 1 build/SBLive/0590/7.wav
DUPTYPE_WITHIN_SAME_TREE -8266 2 784 66309 20328944 1 build/SBLive/0600/13.wav
DUPTYPE_WITHIN_SAME_TREE -8266 2 784 66309 20070726 1 build/SBLive/0570/7.wav
DUPTYPE_WITHIN_SAME_TREE -8266 2 784 66309 20070778 1 build/SBLive/0580/8.wav
DUPTYPE_FIRST_OCCURRENCE 7931 2 878 66309 18748876 1 build/SBLive/0200/18.wav
DUPTYPE_WITHIN_SAME_TREE -7931 2 878 66309 20847550 1 build/SBLive/0670/12.wav
DUPTYPE_WITHIN_SAME_TREE -7931 2 878 66309 20973802 1 build/SBLive/1090/11.wav
DUPTYPE_WITHIN_SAME_TREE -7931 2 878 66309 20847452 1 build/SBLive/0660/10.wav
DUPTYPE_WITHIN_SAME_TREE -7931 2 878 66309 20847342 1 build/SBLive/0650/10.wav
DUPTYPE_WITHIN_SAME_TREE -7931 2 878 66309 20847700 1 build/SBLive/0690/11.wav
DUPTYPE_WITHIN_SAME_TREE -7931 2 878 66309 20847253 1 build/SBLive/0640/10.wav
DUPTYPE_WITHIN_SAME_TREE -7931 2 878 66309 20847637 1 build/SBLive/0680/14.wav
DUPTYPE_FIRST_OCCURRENCE 8375 2 892 66309 20847451 1 build/SBLive/0660/9.wav
DUPTYPE_WITHIN_SAME_TREE -8375 2 892 66309 20847549 1 build/SBLive/0670/11.wav
DUPTYPE_FIRST_OCCURRENCE 9173 2 924 66309 19403726 1 build/SoundBlasterOld/0380/0.wav
DUPTYPE_WITHIN_SAME_TREE -9173 2 924 66309 20972126 1 build/SoundBlasterOld/0870/0.wav
DUPTYPE_FIRST_OCCURRENCE 7383 2 964 66309 20974064 1 build/JCLive/1120/0.wav
DUPTYPE_WITHIN_SAME_TREE -7383 2 964 66309 20974066 1 build/JCLive/1120/2.wav
DUPTYPE_WITHIN_SAME_TREE -7383 2 964 66309 20974068 1 build/JCLive/1120/4.wav
DUPTYPE_WITHIN_SAME_TREE -7383 2 964 66309 20974067 1 build/JCLive/1120/3.wav
DUPTYPE_FIRST_OCCURRENCE 8424 2 1028 66309 20847774 1 build/SBLive/0700/8.wav
DUPTYPE_WITHIN_SAME_TREE -8424 2 1028 66309 20973801 1 build/SBLive/1090/10.wav
DUPTYPE_FIRST_OCCURRENCE 8353 2 1046 66309 20847252 1 build/SBLive/0640/9.wav
DUPTYPE_WITHIN_SAME_TREE -8353 2 1046 66309 20847636 1 build/SBLive/0680/13.wav
DUPTYPE_FIRST_OCCURRENCE 8782 2 1052 66309 20973587 1 build/SBLive/1050/6.wav
DUPTYPE_WITHIN_SAME_TREE -8782 2 1052 66309 20973637 1 build/SBLive/1060/5.wav
DUPTYPE_FIRST_OCCURRENCE 6768 2 1276 66309 20847068 1 build/JCLive/0620/14.wav
DUPTYPE_WITHIN_SAME_TREE -6768 2 1276 66309 20971682 1 build/JCLive/0810/5.wav
DUPTYPE_FIRST_OCCURRENCE 516 2 1276 66309 19403679 1 build/Aspirin/0380/2.wav
DUPTYPE_WITHIN_SAME_TREE -516 2 1276 66309 20972090 1 build/Aspirin/0870/1.wav
